tappjmeter_1504895793670t10u54,uat123456,1595855,FRAMEWORKS,5027,10
tappjmeter_1504895793670t10u58,uat123456,1596773,FRAMEWORKS,5338,10
tappjmeter_1504895793670t10u59,uat123456,1596698,FRAMEWORKS,5338,10
tappjmeter_1504895793670t10u61,uat123456,1594467,FRAMEWORKS,5524,10
tappjmeter_1504895793670t10u91,uat123456,1595718,FRAMEWORKS,0029,10
tappjmeter_1504895793670t10u92,uat123456,1595214,FRAMEWORKS,0029,10
tappjmeter_1504895793670t10u95,uat123456,1595387,FRAMEWORKS,0029,10
tappjmeter_1504895793670t10u97,uat123456,1594865,FRAMEWORKS,0124,10
tappjmeter_1504895793670t10u99,uat123456,1595274,FRAMEWORKS,0124,10
tappjmeter_1504895793670t11u100,uat123456,1596545,FRAMEWORKS,0504,10
tappjmeter_1504895793670t11u101,uat123456,1596213,FRAMEWORKS,0538,10
tappjmeter_1504895793670t11u102,uat123456,1595676,FRAMEWORKS,0538,10
tappjmeter_1504895793670t11u103,uat123456,1596286,FRAMEWORKS,0538,10
tappjmeter_1504895793670t11u105,uat123456,1595482,FRAMEWORKS,0538,10
tappjmeter_1504895793670t11u106,uat123456,1594621,FRAMEWORKS,0631,10
tappjmeter_1504895793670t11u12,uat123456,1596538,FRAMEWORKS,4420,10
tappjmeter_1504895793670t11u13,uat123456,1594792,FRAMEWORKS,4420,10
tappjmeter_1504895793670t11u14,uat123456,1595703,FRAMEWORKS,4420,10
tappjmeter_1504895793670t11u17,uat123456,1596221,FRAMEWORKS,4831,10
tappjmeter_1504895793670t11u18,uat123456,1595783,FRAMEWORKS,4831,10
tappjmeter_1504895793670t11u19,uat123456,1596712,FRAMEWORKS,4831,10
tappjmeter_1504895793670t11u21,uat123456,1594460,FRAMEWORKS,5095,10
tappjmeter_1504895793670t11u23,uat123456,1596605,FRAMEWORKS,5095,10
tappjmeter_1504895793670t11u24,uat123456,1594466,FRAMEWORKS,5095,10
tappjmeter_1504895793670t11u25,uat123456,1596547,FRAMEWORKS,5095,10
tappjmeter_1504895793670t11u26,uat123456,1596478,FRAMEWORKS,5339,10
tappjmeter_1504895793670t11u27,uat123456,1594680,FRAMEWORKS,5339,10
tappjmeter_1504895793670t11u28,uat123456,1596402,FRAMEWORKS,5339,10
tappjmeter_1504895793670t11u29,uat123456,1596639,FRAMEWORKS,5339,10
tappjmeter_1504895793670t11u3,uat123456,1594639,FRAMEWORKS,3915,10
tappjmeter_1504895793670t11u32,uat123456,1595804,FRAMEWORKS,5547,10
tappjmeter_1504895793670t11u33,uat123456,1594965,FRAMEWORKS,5547,10
tappjmeter_1504895793670t11u34,uat123456,1595976,FRAMEWORKS,5547,10
tappjmeter_1504895793670t11u36,uat123456,1595373,FRAMEWORKS,5791,10
tappjmeter_1504895793670t11u37,uat123456,1594692,FRAMEWORKS,5791,10
tappjmeter_1504895793670t11u38,uat123456,1595488,FRAMEWORKS,5791,10
tappjmeter_1504895793670t11u39,uat123456,1596186,FRAMEWORKS,5791,10
